timepoint,mean_mse,mean_rho,hidden_dims,dropout,lr,weight_decay ,batch_size
50,0.009791,0.5276,"(256, 128, 32)",0.302054,0.000161,0.000144,32
100,0.008427,0.617194,"(256, 64)",0.322068,0.000293,0.0253,128
150,0.008156,0.631608,"(256, 64)",0.392771,0.000166,0.00027,256
200,0.007817,0.648866,"(256, 64)",0.346478,0.00012,0.0401,256
250,0.007698,0.657435,"(256, 64)",0.440978,0.00009,0.00567,128
300,0.007566,0.664908,"(256, 64)",0.39344,0.000092,0.0164,32
350,0.00731,0.678211,"(256, 64)",0.32736,0.000227,0.0015,64
400,0.00725,0.681834,"(256, 64)",0.291867,0.000109,0.0274,128
500,0.00722,0.683319,"(256, 64)",0.327694,0.000103,0.0362,64
600,0.007139,0.687024,"(256, 64)",0.303617,0.000143,0.0321,64
700,0.0071,0.689938,"(256, 64)",0.409009,0.000282,0.0618,64
800,0.007105,0.689049,"(256, 64)",0.444876,0.000175,0.0479,32
900,0.007059,0.694244,"(256, 64)",0.452401,0.000175,0.0626,64
1000,0.007105,0.691544,"(256, 64)",0.463808,0.000141,0.00128,32
1100,0.007382,0.671524,"(256, 64)",0.458227,0.000178,0.0427,32
1200,0.007419,0.669617,"(256, 64)",0.462034,0.000283,0.0616,64
1300,0.007887,0.644263,"(128, 64, 16)",0.142386,0.000414,0.0853,256
