trial_id,hidden_dims,dropout_rate,lr,weight_decay,batch_size,mean_val_mse,std_val_mse,mean_val_rho,std_val_rho
0,"(256, 128)",0.193611,1.84e-05,1.71e-05,32,0.007713,0.000234,0.702506,0.011289
1,"(512, 256)",0.210043,3.29e-05,1.26e-03,128,0.007794,0.000188,0.698736,0.009390
2,"(256,)",0.219804,7.48e-05,2.34e-03,64,0.007913,0.000224,0.694131,0.009667
3,"(256, 128)",0.158603,1.45e-04,5.76e-04,256,0.007848,0.000205,0.696975,0.010969
4,"(256, 128)",0.428026,2.06e-05,7.56e-02,64,0.007596,0.000204,0.708361,0.010965
5,"(512, 256)",0.295198,4.57e-05,1.22e-04,32,0.007812,0.000226,0.698251,0.011323
6,"(256,)",0.563347,2.18e-05,1.05e-05,32,0.007621,0.000203,0.706502,0.010176
8,"(512, 256)",0.556471,8.99e-05,1.21e-02,64,0.007631,0.000157,0.707446,0.007995
9,"(512, 256, 128)",0.405142,3.48e-04,9.94e-05,64,0.007708,0.000197,0.703391,0.009675
10,"(512, 256, 128)",0.480042,3.02e-04,1.64e-02,64,0.007715,0.000254,0.705407,0.010046
