trial_id,hidden_dims,dropout_rate,lr,weight_decay,batch_size,mean_val_mse,std_val_mse,mean_val_rho,std_val_rho
0,"(16,)",0.460669,1.60e-04,1.21e-05,32,0.013820,0.000062,-0.002468,0.008382
1,"(256, 64)",0.319817,5.95e-05,1.38e-02,128,0.013835,0.000051,-0.003110,0.013285
2,"(128, 32)",0.510540,5.60e-05,3.08e-05,128,0.013823,0.000061,0.000305,0.008095
3,"(256, 64)",0.636896,1.04e-04,4.87e-02,256,0.013821,0.000062,0.002350,0.007442
4,"(32, 16)",0.144730,4.75e-04,1.23e-02,128,0.013820,0.000062,0.007781,0.015706
5,"(256, 64)",0.138135,3.38e-05,2.00e-04,128,0.013821,0.000063,-0.001029,0.015930
6,"(128, 32)",0.115251,1.53e-05,1.34e-05,256,0.013853,0.000062,0.000553,0.014206
7,"(256, 128, 32)",0.584872,1.19e-04,3.06e-02,128,0.013821,0.000062,-0.006628,0.012181
8,"(16,)",0.104171,7.37e-05,4.67e-04,256,0.013848,0.000075,-0.000467,0.010681
9,"(128, 32)",0.280527,3.05e-05,1.40e-05,32,0.013824,0.000058,-0.002212,0.012720
10,"(128, 64, 16)",0.437914,2.78e-04,1.63e-03,32,0.013820,0.000062,nan,nan
11,"(128, 64, 16)",0.452006,2.82e-04,1.92e-03,32,0.013820,0.000062,nan,nan
12,"(128, 64, 16)",0.389036,3.12e-04,2.57e-03,32,0.013820,0.000062,nan,nan
13,"(128, 64, 16)",0.513934,2.24e-04,2.41e-03,64,0.013820,0.000062,nan,nan
14,"(128, 64, 16)",0.696678,4.91e-04,1.25e-04,32,0.013820,0.000062,nan,nan
15,"(16, 8)",0.689699,4.92e-04,1.07e-04,32,0.013820,0.000062,nan,nan
16,"(32,)",0.576289,2.02e-04,9.25e-05,64,0.013820,0.000062,-0.005234,0.014118
17,"(128, 64, 16)",0.298548,3.59e-04,5.06e-04,32,0.013820,0.000062,nan,nan
18,"(128, 64, 16)",0.227363,1.61e-04,5.71e-03,32,0.013820,0.000062,0.005154,0.010157
19,"(256, 128, 32)",0.216697,1.36e-04,1.07e-02,32,0.013820,0.000062,-0.002252,0.002554
20,"(16, 8)",0.205411,1.06e-05,5.99e-04,64,0.013824,0.000062,-0.002399,0.017674
21,"(128, 64, 16)",0.375803,2.06e-04,4.95e-03,32,0.013820,0.000062,nan,nan
22,"(128, 64, 16)",0.683617,3.62e-04,4.62e-03,32,0.013820,0.000062,nan,nan
23,"(128, 64, 16)",0.690947,3.65e-04,9.61e-02,32,0.013820,0.000062,nan,nan
24,"(32,)",0.606440,4.93e-04,4.69e-03,32,0.013820,0.000062,nan,nan
25,"(32, 16)",0.665089,1.71e-04,5.81e-03,32,0.013820,0.000062,nan,nan
26,"(128, 64, 16)",0.561345,8.91e-05,1.03e-03,32,0.013821,0.000063,nan,nan
27,"(128, 64, 16)",0.629963,2.51e-04,2.61e-04,32,0.013820,0.000062,nan,nan
28,"(128, 64, 16)",0.534040,3.80e-04,4.80e-05,64,0.013820,0.000062,nan,nan
29,"(16,)",0.518858,1.50e-04,3.23e-05,64,0.013820,0.000062,0.001778,0.003543
30,"(128, 64, 16)",0.354222,3.67e-04,1.70e-02,64,0.013820,0.000062,nan,nan
31,"(128, 64, 16)",0.650952,3.87e-04,5.38e-05,64,0.013820,0.000062,nan,nan
32,"(128, 64, 16)",0.642609,1.88e-04,5.59e-05,64,0.013820,0.000062,nan,nan
33,"(128, 64, 16)",0.542892,3.74e-04,2.98e-05,64,0.013820,0.000062,nan,nan
34,"(32,)",0.610458,2.47e-04,2.16e-05,64,0.013820,0.000062,-0.004101,0.007197
35,"(32, 16)",0.429794,5.05e-05,6.77e-03,64,0.013822,0.000061,0.006574,0.014057
36,"(256, 128, 32)",0.480714,3.17e-04,2.09e-02,256,0.013820,0.000063,0.001291,0.007283
37,"(16, 8)",0.654668,1.04e-04,9.32e-04,64,0.013821,0.000063,nan,nan
38,"(256, 64)",0.236388,3.93e-04,2.02e-04,128,0.013820,0.000062,-0.001126,0.012419
39,"(16,)",0.603058,1.34e-04,8.66e-03,256,0.013821,0.000062,-0.001229,0.015667
40,"(128, 32)",0.550041,1.70e-04,3.31e-03,128,0.013821,0.000062,0.001834,0.010895
41,"(128, 64, 16)",0.539696,3.91e-04,4.56e-05,64,0.013820,0.000062,nan,nan
42,"(128, 64, 16)",0.474015,3.06e-04,1.05e-05,64,0.013820,0.000062,nan,nan
43,"(128, 64, 16)",0.471104,2.91e-04,1.15e-05,64,0.013820,0.000062,nan,nan
44,"(256, 64)",0.495433,2.45e-04,1.63e-05,64,0.013820,0.000062,-0.001117,0.003591
45,"(128, 64, 16)",0.418690,4.21e-04,2.30e-05,64,0.013820,0.000062,nan,nan
46,"(128, 64, 16)",0.349532,3.85e-05,3.14e-05,256,0.013895,0.000178,0.001856,0.007332
47,"(128, 32)",0.142825,3.01e-04,3.30e-02,128,0.013821,0.000063,-0.003538,0.017051
48,"(128, 64, 16)",0.586407,2.25e-05,1.85e-05,64,0.013823,0.000060,-0.000837,0.008812
49,"(32, 16)",0.662724,7.11e-05,1.06e-05,64,0.013821,0.000062,nan,nan
