trial_id,hidden_dims,dropout_rate,lr,weight_decay,batch_size,mean_val_mse,std_val_mse,mean_val_rho,std_val_rho
0,"(16,)",0.460669,1.60e-04,1.21e-05,32,0.009071,0.000193,0.634324,0.009454
1,"(256, 64)",0.319817,5.95e-05,1.38e-02,128,0.007194,0.000077,0.684928,0.001698
2,"(128, 32)",0.510540,5.60e-05,3.08e-05,128,0.007550,0.000152,0.677927,0.003923
3,"(256, 64)",0.636896,1.04e-04,4.87e-02,256,0.008319,0.000935,0.642924,0.038863
4,"(32, 16)",0.144730,4.75e-04,1.23e-02,128,0.007462,0.000069,0.669901,0.003645
5,"(256, 64)",0.138135,3.38e-05,2.00e-04,128,0.007304,0.000064,0.677536,0.001971
6,"(128, 32)",0.115251,1.53e-05,1.34e-05,256,0.008179,0.000091,0.631756,0.003881
7,"(256, 128, 32)",0.584872,1.19e-04,3.06e-02,128,0.007974,0.000100,0.676583,0.003658
8,"(16,)",0.104171,7.37e-05,4.67e-04,256,0.008498,0.000094,0.631762,0.004212
9,"(128, 32)",0.280527,3.05e-05,1.40e-05,32,0.007357,0.000103,0.678327,0.003501
10,"(128, 64, 16)",0.318237,1.03e-05,4.14e-03,64,0.007937,0.000130,0.666143,0.004202
11,"(256, 64)",0.254785,2.99e-05,2.18e-04,128,0.007229,0.000071,0.683134,0.001306
12,"(256, 64)",0.294670,2.92e-05,1.58e-03,128,0.007257,0.000082,0.682136,0.002324
13,"(16, 8)",0.368174,2.01e-04,1.17e-04,64,0.010422,0.000831,0.602260,0.011776
14,"(32,)",0.234030,4.45e-05,3.12e-03,128,0.008389,0.000085,0.644000,0.002775
15,"(256, 64)",0.410201,1.94e-05,9.45e-05,128,0.007498,0.000092,0.674743,0.001884
16,"(256, 64)",0.219631,6.99e-05,9.61e-02,128,0.007176,0.000073,0.683896,0.001460
17,"(32,)",0.194512,8.01e-05,9.56e-02,32,0.007644,0.000125,0.662829,0.004493
18,"(128, 64, 16)",0.359033,2.81e-04,1.44e-02,64,0.007481,0.000111,0.676984,0.003268
19,"(256, 128, 32)",0.215931,5.03e-05,1.13e-02,128,0.007430,0.000079,0.676114,0.003026
20,"(16, 8)",0.448451,1.08e-04,8.13e-02,128,0.011078,0.000293,0.598063,0.009750
21,"(256, 64)",0.252597,2.35e-05,8.15e-04,128,0.007252,0.000069,0.681127,0.000626
22,"(256, 64)",0.186043,4.16e-05,2.53e-02,128,0.007247,0.000064,0.680105,0.002090
23,"(256, 64)",0.319702,6.39e-05,5.43e-03,128,0.007186,0.000082,0.684949,0.001887
24,"(32, 16)",0.332699,7.19e-05,4.73e-03,128,0.007838,0.000159,0.662782,0.004226
25,"(256, 64)",0.394436,6.07e-05,6.66e-03,128,0.007226,0.000090,0.684295,0.002305
26,"(256, 64)",0.514698,9.19e-05,1.59e-03,32,0.007196,0.000083,0.686681,0.002367
27,"(256, 64)",0.303617,1.43e-04,3.21e-02,64,0.007139,0.000067,0.687024,0.001852
28,"(256, 64)",0.171298,1.55e-04,3.81e-02,64,0.007180,0.000060,0.683768,0.001864
29,"(16,)",0.183262,1.73e-04,3.86e-02,64,0.007879,0.000215,0.658397,0.003732
30,"(32, 16)",0.167156,2.47e-04,5.79e-02,64,0.007444,0.000106,0.672085,0.002449
31,"(256, 64)",0.281831,1.34e-04,1.91e-02,64,0.007147,0.000067,0.686504,0.002145
32,"(256, 64)",0.267925,1.30e-04,2.09e-02,64,0.007147,0.000069,0.686599,0.001779
33,"(256, 64)",0.273812,1.40e-04,2.11e-02,64,0.007141,0.000063,0.686212,0.002064
34,"(256, 64)",0.285859,1.39e-04,1.73e-02,64,0.007144,0.000062,0.687119,0.001596
35,"(16, 8)",0.296885,3.35e-04,1.09e-02,64,0.009313,0.000525,0.631936,0.009989
36,"(256, 64)",0.433793,1.44e-04,1.62e-02,64,0.007159,0.000086,0.686830,0.001191
37,"(128, 64, 16)",0.347967,1.93e-04,8.26e-03,64,0.007515,0.000110,0.675667,0.003273
38,"(256, 128, 32)",0.386837,3.77e-04,2.35e-02,64,0.007306,0.000089,0.683034,0.001230
39,"(16,)",0.494624,2.49e-04,2.43e-03,64,0.009213,0.000446,0.617382,0.015545
40,"(128, 32)",0.685898,9.32e-05,6.08e-02,256,0.008472,0.000174,0.658445,0.005751
