run_id,hidden_dims,dropout_rate,lr,batch_size,best_val_rho
0,"(512, 256)",0.3,0.0001,32,0.648625
1,"(512, 256)",0.3,0.0001,64,0.649157
2,"(512, 256)",0.3,5e-05,32,0.656749
3,"(512, 256)",0.3,5e-05,64,0.653481
4,"(512, 256)",0.3,1e-05,32,0.656117
5,"(512, 256)",0.3,1e-05,64,0.658959
6,"(512, 256)",0.5,0.0001,32,0.655429
7,"(512, 256)",0.5,0.0001,64,0.646831
8,"(512, 256)",0.5,5e-05,32,0.665607
9,"(512, 256)",0.5,5e-05,64,0.627078
10,"(512, 256)",0.5,1e-05,32,0.637214
11,"(512, 256)",0.5,1e-05,64,0.632830
12,"(256, 128)",0.3,0.0001,32,0.647024
13,"(256, 128)",0.3,0.0001,64,0.649763
14,"(256, 128)",0.3,5e-05,32,0.657518
15,"(256, 128)",0.3,5e-05,64,0.654117
