run_id,hidden_dims,dropout_rate,lr,batch_size,best_val_rho
0,"(512, 256)",0.3,0.0001,32,0.646372
1,"(512, 256)",0.3,0.0001,64,0.650032
2,"(512, 256)",0.3,5e-05,32,0.646538
3,"(512, 256)",0.3,5e-05,64,0.637201
4,"(512, 256)",0.3,1e-05,32,0.650719
5,"(512, 256)",0.3,1e-05,64,0.647858
6,"(512, 256)",0.5,0.0001,32,0.649138
7,"(512, 256)",0.5,0.0001,64,0.646023
8,"(512, 256)",0.5,5e-05,32,nan
8,"(512, 256)",0.5,5e-05,32,0.632718
9,"(512, 256)",0.5,5e-05,64,0.630992
10,"(512, 256)",0.5,1e-05,32,0.533694
11,"(512, 256)",0.5,1e-05,64,0.590616
